feature,importance
Frio (Kw),0.5381474890116128
Sala Maq (Kw),0.19572758140880886
Frio_roll_mean_7_lag1,0.1239942269271149
Envasado (Kw),0.022199677685580583
Frio_roll_mean_14_lag1,0.017071932082115507
Servicios (Kw),0.016508270312111054
ET Servicios / Hl,0.00820650527974432
Frio_roll_mean_28_lag1,0.007626554200001374
KW Gral Planta,0.006935886883510494
ET Bodega/Hl,0.006796731276475325
Pta Agua / Eflu (Kw),0.006635242226829895
Hl Cerveza L4,0.006371502044681893
Frio_roll_std_7_lag1,0.006346287994976855
Frio_diff7_lag1,0.006000905688916511
Resto Serv (Kw),0.005845433275217942
Linea 3 (Kw),0.005772679784337148
mes_cos,0.005309126876407466
EE Sala Maq / Hl,0.005258459521249774
Prod Agua (Kw),0.00513658551391849
EE Frio / Hl,0.00410892200638878
